LTER SpeciesCode	Scientific Name	Authority	Common Name	"Habit (P=Perennial, A=Annual, Bi=Biennial; Growth Form (G=Grass, F=Forb, SS=Sub Shrub) "	" (C=cool, W=Warm Season)"	Flowering Date	Family	
Cyat	Cycloloma atriplicifolium	(Spreng.) Coulter	atriplex leaved cryptantha	AF		May-Oct	Chenopodiaceae	
Cyac	Cymopterus acaulis	(Pursh) Raf.	stemless spring parsley	PF		Apr-Jun	Umbelliferae	
Cymo	Cymopterus montanus	(Nutt.) Torr. & Gray	mountain spring parsley	PF		Mar-May	Umbelliferae	
Cyof	Cynoglossum officinale	L.	common houndstongue	BiF		May-Jul	Boraginaceae	
Daca	Dalea candida	Michx. ex Willd.	white prairieclover (dalea)	PF		May-Aug	Leguminosae	
Dege	Delphinium geyeri	Greene	Geyer (plains) larksper	PF			Ranunculaceae	
Devi*	Delphinium virescens	Nutt.	prairie larkspur	PF		May-Jun	Ranunculaceae	
Depi	Descurainia pinnata	(Walt.) Britt.	pinnata tansymustard	AF		Mar-Aug	Cruciferae	
Deri	Descurainia richardsonii	(Sweet) O.E. Shultz	Richardson tansymustard	BiF		May-Jun	Cruciferae	
Deso	Descurainia sophia	(L.) Webb	flixweed tansymustard	AF or BiF		May-Jul	Cruciferae	
Dypa	Dyssodia papposa	(Vent.) A. S. Hitchc.	prairie dogweed (fetid marigold)	AF		Jul-Sep	Compositae	
Ecvi*	Echinocereus viridiflorus	Engelm.	hedgehog cactus	PS		May-Jun	Cactaceae	
Elny	Ellisia nyctelea	L.	common waterpod	AF		May-Jul	Hydrophyllaceae	
Eqhy	Equisetum hyemale	L.	scouringrush horsetail	PF		Apr-Oct	Equisetaceae	
Eqla	Equisetum laevigatum	A. Br.	smooth horsetail	AF		May-Aug	Equisetaceae	
Erbe	Erigeron bellidiastrum	Nutt.	western fleabane (daisy)	AF		Jun-Aug	Compositae	
Erca	See Coca							
Erpu	Erigeron pumilus	Nutt.	low fleabane	PF		May-Aug	Compositae	
Erfl	Erigeron flagellaris	A. Gray	trailing fleabane	BiF or PF		Jun-Sep	Compositae	
Eref	Eriogonum effusum	Nutt.	speading wildbuckwheat	PSS	WS	(Jul) Aug-Sep	Polygonaceae	
Erfv	Eriogonum flavum	Nutt.	yellow wildbuckwheat	PF		May-Sep	Polygonaceae	
